	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
r0400_pos	0.0	0.0	0.0	0.0
r0400_neg	0.0	0.0	0.0	0.0
r0402_pos	6.541328977045604	6.819157223674968	6.422064766172812	6.783194703376154
r0403_pos	0.0	0.0	0.0	0.0
r0403_neg	0.0	0.0	0.0	0.0
r0407_pos	10.834344630860334	13.370499430139624	11.370469460581123	13.370775938057616
r0407_neg	10.834344630860334	13.370499430139624	11.370469460581123	13.370775938057616
r0408_pos	3.212569338850806	4.758622982440239	3.587364990936461	4.867402305727543
r0408_neg	3.212569338850806	4.758622982440239	3.587364990936461	4.867402305727543
r0409_pos	3.212569338850806	4.758622982440239	3.587364990936461	4.867402305727543
r0409_neg	3.212569338850806	4.758622982440239	3.587364990936461	4.867402305727543
r0410_pos	4.157852169141737	4.69655030107857	4.238786859587116	4.794935662803536
r0410_neg	4.157852169141737	4.69655030107857	4.238786859587116	4.794935662803536
r0413_pos	6.445594291341182	8.883376436672842	7.283551423174307	8.80783788642329
r0422_pos	7.7669263817506735	8.880348808156027	8.02685537634458	8.781654780061338
r0422_neg	7.7669263817506735	8.880348808156027	8.02685537634458	8.781654780061338
r0423_pos	7.7669263817506735	8.880348808156027	8.02685537634458	8.781654780061338
r0424_pos	7.7669263817506735	8.880348808156027	8.02685537634458	8.781654780061338
r0424_neg	7.7669263817506735	8.880348808156027	8.02685537634458	8.781654780061338
r0425_pos	8.11890647530529	9.144853647654235	8.33771109212829	9.03937604459183
r0425_neg	8.11890647530529	9.144853647654235	8.33771109212829	9.03937604459183
r0426_pos	6.921959917326166	8.009156789171302	7.144250356190519	7.954952363677778
r0426_neg	6.921959917326166	8.009156789171302	7.144250356190519	7.954952363677778
r0434_pos	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0434_neg	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0437_pos	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0437_neg	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0441_pos	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0441_neg	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0443_pos	5.98299357469431	6.994466584973962	6.523561956057013	6.814101754498189
r0450_pos	6.317774372804099	5.746850183098051	6.252097703037443	5.450551443306483
r0450_neg	6.317774372804099	5.746850183098051	6.252097703037443	5.450551443306483
r0451_pos	5.612352498752662	6.454340424752484	5.77899700616954	6.49761236561836
r0456_pos	3.426264754702098	3.588564737401352	3.800123352826528	3.951401291674311
r0463_pos	6.014801602351361	7.802645604128824	6.930855586408565	7.650046478846795
r0463_neg	6.014801602351361	7.802645604128824	6.930855586408565	7.650046478846795
r0464_pos	10.195864300880995	11.200506315163926	10.359859350287824	11.276740909314347
r0464_neg	10.195864300880995	11.200506315163926	10.359859350287824	11.276740909314347
r0470_pos	1.126532405928932	2.677320305699499	1.8169409708868023	2.3400874640062024
r0472_pos	1.126532405928932	2.677320305699499	1.8169409708868023	2.3400874640062024
